gene,uniprot,prot_log2fc,rna_log2fc,immune_rho,immune_infiltration_flag,dropped_by,retained,locations
CDH4,P55283,1.599827873690112,1.0322120324427013,-0.166046123923312,False,fc_rank_cutoff,False,Cell membrane
CTHRC1,Q96CG8,1.587408541912752,1.8265089955920186,0.35599486058201657,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix"
ANGPT2,O15123,1.541609291246555,2.2545580313674103,0.012104681829452471,False,fc_rank_cutoff,False,Secreted
ENPP3,O14638,1.505828772400692,3.788062768143395,-0.2806888623402385,False,fc_rank_cutoff,False,Cell membrane; Apical cell membrane; Secreted
IL32,P24001,1.4961756957689611,1.0068945302834633,0.10895140664961636,False,fc_rank_cutoff,False,Secreted
EMILIN2,Q9BXX0,1.4914721698240385,1.302853046271891,0.4114825417577711,True,immune_filter,False,"Secreted, extracellular space, extracellular matrix"
COL5A3,P25940,1.467113564441517,1.4244060717363871,-0.17020940874151885,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix; Secreted"
LOX,P28300,1.4667598357636766,2.8033500636517186,0.243504722403805,False,fc_rank_cutoff,False,"Secreted; Secreted, extracellular space"
ITGB2,P05107,1.4593389519161302,2.293736261461577,0.5968712665960373,True,immune_filter,False,Cell membrane; Membrane raft
FLT1,P17948,1.4386262378746737,1.8876738739065124,-0.0838968145397694,False,fc_rank_cutoff,False,Cell membrane; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm
BTN3A2,P78410,1.4221095209975878,1.9910206711474019,0.3898921832884097,False,fc_rank_cutoff,False,Cell membrane
C5AR1,P21730,1.4178547958179195,1.3025853773633442,0.5387237762237762,True,immune_filter,False,Cell membrane; Cytoplasmic vesicle
LOXL3,P58215,1.4002641782869696,0.9067951906461547,0.17711856960857533,False,fc_rank_cutoff,False,"Secreted, extracellular space; Cytoplasm; Nucleus; Secreted, extracellular space; Cytoplasm; Secreted, extracellular space"
PTPRC,P08575,1.3941862789390809,2.0094486536454395,0.8659062732457228,True,immune_filter,False,Cell membrane; Membrane raft; Synapse
HAVCR2,Q8TDQ0,1.3766862761090264,0.9458243273536491,0.15110965564148424,False,fc_rank_cutoff,False,Cell membrane; Cell junction; Cell membrane
ITGAL,P20701,1.374513406186873,1.600215503069981,0.789482226179474,True,immune_filter,False,Cell membrane; Membrane raft
FCGR1A,P12314,1.3689990096925584,2.0031199647734246,0.7724770642201836,True,immune_filter,False,Cell membrane
VCAM1,P19320,1.364164976049071,1.6930866153176245,0.2345873813763722,False,fc_rank_cutoff,False,Cell membrane; Secreted
CD53,P19397,1.3561486306002706,2.2319302378327457,0.4834179925276017,True,immune_filter,False,Cell membrane; Cell junction; Membrane; Synapse
TGFB3,P10600,1.3486868903116214,0.43137462016966666,0.303670745272525,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix; Secreted"
PLOD3,O60568,1.3380107921066462,1.0561422152997362,0.12950882492166896,False,fc_rank_cutoff,False,"Rough endoplasmic reticulum; Endoplasmic reticulum lumen; Endoplasmic reticulum membrane; Secreted; Secreted, extracellular space"
ERO1A,Q96HE7,1.3287100796544005,1.4721908266163481,-0.0767080675337556,False,fc_rank_cutoff,False,"Endoplasmic reticulum membrane; Golgi apparatus lumen; Secreted; Cell projection, dendrite"
LAIR1,Q6GTX8,1.3281850779137339,2.1746462050535698,0.7877050485746138,True,immune_filter,False,Cell membrane
CD48,P09326,1.3212745747327228,1.6331795843430112,0.73860821819701,True,immune_filter,False,Cell membrane; Membrane raft; Secreted
ICAM1,P05362,1.3038756179604747,1.6662378655545962,0.40914726235827154,True,immune_filter,False,Cell membrane
LILRB2,Q8N423,1.302568053712596,1.2306653490841903,0.6890469738030713,True,immune_filter,False,Cell membrane
NCKAP1L,P55160,1.2982732893675493,2.0323453051563645,0.7955413294862836,True,immune_filter,False,Cell membrane; Cytoplasm
CSPG4,Q6UVK1,1.2890925692346213,1.7195931562234428,-0.2066451772873791,False,fc_rank_cutoff,False,"Cell membrane; Apical cell membrane; Cell projection, lamellipodium membrane; Cell surface"
MMP14,P50281,1.2875762475567074,1.5411496270266944,0.33125352207921016,False,fc_rank_cutoff,False,Cell membrane; Melanosome; Cytoplasm
SERPINE1,P05121,1.283984303006128,1.712213840101211,0.35316367242972746,False,fc_rank_cutoff,False,Secreted
COL5A1,P20908,1.2825920648679694,0.7999753094968864,-0.0818746470920384,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix"
COL3A1,P02461,1.2820392988449167,1.1811520546954597,0.061614408403399226,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix"
CD163,Q86VB7,1.2805424215249044,1.9343489650177301,0.6854630168899243,True,immune_filter,False,Secreted; Cell membrane
CD36,P16671,1.2731621630440466,2.512250372056947,-0.19608682911435205,False,fc_rank_cutoff,False,Cell membrane; Membrane raft; Golgi apparatus; Apical cell membrane
VWF,P04275,1.2710282397055044,3.515983389860927,-0.11089872190789622,False,fc_rank_cutoff,False,"Secreted; Secreted, extracellular space, extracellular matrix"
BTN3A1,O00481,1.262818374514411,1.8721018003908543,0.2685277719335157,False,fc_rank_cutoff,False,Cell membrane
NEFL,P07196,1.255915727618362,1.0822347200381164,0.2903906408493564,False,fc_rank_cutoff,False,"Cell projection, axon; Cytoplasm, cytoskeleton"
COL8A1,P27658,1.2469592740730537,2.0211093299659,0.17557498047711412,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix, basement membrane"
ADM,P35318,1.244781602247817,2.533181217775164,-0.1032967032967033,False,fc_rank_cutoff,False,Secreted
MSR1,P21757,1.2384488866548828,2.3722791892385837,0.736239659175439,True,immune_filter,False,Cell membrane
SLC1A4,P43007,1.2335500489593052,1.340724894970431,0.13612670408981556,False,fc_rank_cutoff,False,Cell membrane; Melanosome membrane
CDH13,P55290,1.1936495189228857,1.7868589901153153,-0.2796068796068796,False,fc_rank_cutoff,False,Cell membrane; Cytoplasm
KEL,P23276,1.1876904253549738,0.0159643814026168,0.1974025974025974,False,fc_rank_cutoff,False,Cell membrane
GPNMB,Q14956,1.1844474112004475,2.2098404781702823,0.3061695557108401,False,fc_rank_cutoff,False,Cell membrane; Melanosome membrane; Early endosome membrane
CD68,P34810,1.1831803231629403,2.318801115813332,0.5487768045907581,True,immune_filter,False,Cell membrane; Endosome membrane; Lysosome membrane
VIM,P08670,1.1656076837750002,2.711802080057054,0.011076798232761535,False,fc_rank_cutoff,False,"Cytoplasm; Cytoplasm, cytoskeleton; Nucleus matrix; Cell membrane; Cell projection, axon"
LILRB4,Q8NHJ6,1.1648915100622752,2.173780239037048,0.6594746716697936,True,immune_filter,False,Cell membrane
HAPLN3,Q96S86,1.1383838410026783,1.3867003210300533,0.30531341317858174,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix"
TRPV2,Q9Y5S1,1.1333950449962102,1.7054086228588865,0.6163498552714035,True,immune_filter,False,Cell membrane; Cytoplasm; Melanosome
COL5A2,P05997,1.1322113010637596,1.5476977291006646,0.07589658048373643,False,fc_rank_cutoff,False,"Secreted, extracellular space, extracellular matrix"
CD4,P01730,1.1310606138126962,1.8456494048180363,0.8296147690643103,True,immune_filter,False,Cell membrane
CD300A,Q9UGN4,1.1267974763558732,2.385410913264715,0.5215116787682618,True,immune_filter,False,Cell membrane
