gene,n_agents,max_clinical_phase,any_indication_positive,ccrcc_direct_positive,ccrcc_interventional,agent_modality,agents,ccrcc_agents,example_ncts
CD4,8,3,True,True,True,,CLENOLIXIMAB; IBALIZUMAB; PRILIXIMAB; SEMZUVOLIMAB; TREGALIZUMAB; TRX-1; VRC-01LS; ZANOLIMUMAB,ZANOLIMUMAB,NCT01160445
LY86,0,0,False,False,False,,,,
SERPINE1,1,1,True,False,False,,ALEPLASININ,,
ERO1A,0,0,False,False,False,,,,
COL5A3,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
ITGA5,3,2,True,True,True,,ATN-161; PF-04605412; VOLOCIXIMAB,ATN-161; VOLOCIXIMAB,NCT00100685;NCT00131651
ITGAM,1,0,False,False,False,,ROVELIZUMAB,,
GZMK,0,0,False,False,False,,,,
P2RX7,5,2,True,False,False,,AZD9056; CE-224535; EVT401; GSK1482160; JNJ-54175446,,
COL8A1,0,0,False,False,False,,,,
LILRB2,0,0,False,False,False,,,,
LOXL3,0,0,False,False,False,,,,
BTN3A1,0,0,False,False,False,,,,
VIM,1,2,True,False,False,,PRITUMUMAB,,
MMP14,2,3,True,False,False,,CTS-1027; REBIMASTAT,,
IL32,0,0,False,False,False,,,,
KEL,0,0,False,False,False,,,,
ICAM1,3,3,True,False,False,,ALICAFORSEN; BI-505; ENLIMOMAB PEGOL,,
CD180,0,0,False,False,False,,,,
CDH13,0,0,False,False,False,,,,
ADGRE2,0,0,False,False,False,,,,
OLFML2A,0,0,False,False,False,,,,
HAPLN3,0,0,False,False,False,,,,
EGFR,82,3,True,True,True,,ABIVERTINIB; ABIVERTINIB MALEATE; AC-480; AEE-788; AFATINIB; AFATINIB DIMALEATE; ALLITINIB; AMIVANTAMAB; AUMOLERTINIB; AV-412; AZD-3759; AZD-4769; BAFISONTAMAB; BMS-690514; BRIGATINIB; CANERTINIB; CANERTINIB DIHYDROCHLORIDE; CEP-32496; CETUXIMAB; CETUXIMAB SAROTALOCAN; CLN-081; CUDC-101; DACOMITINIB,AFATINIB; AFATINIB DIMALEATE; CETUXIMAB; ERLOTINIB; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB; LAPATINIB DITOSYLATE; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB; VANDETANIB,NCT00004879;NCT00012337;NCT00014144;NCT00014183;NCT00030498
IGFLR1,0,0,False,False,False,,,,
ECSCR,0,0,False,False,False,,,,
LILRB1,0,0,False,False,False,,,,
TRPV2,0,0,False,False,False,,,,
LILRB4,0,0,False,False,False,,,,
CDH4,0,0,False,False,False,,,,
PLOD3,0,0,False,False,False,,,,
SORCS3,0,0,False,False,False,,,,
ADAMTS7,0,0,False,False,False,,,,
NEFL,0,0,False,False,False,,,,
COL3A1,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
TGFB3,3,3,True,True,True,,BINTRAFUSP ALFA; FRESOLIMUMAB; LUSPATERCEPT,BINTRAFUSP ALFA; FRESOLIMUMAB,NCT00356460;NCT00923169;NCT04235777;NCT04648826
SLC1A4,0,0,False,False,False,,,,
COL5A2,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
MET,38,3,True,True,True,,ALTIRATINIB; AMG-208; AMG-337; AMIVANTAMAB; AMUVATINIB; ARRY-300; BAFISONTAMAB; BEPERMINOGENE PERPLASMID; BMS-777607; BMS-817378; BPI-9016; CABOZANTINIB; CABOZANTINIB S-MALATE; CAPMATINIB; CAPMATINIB HYDROCHLORIDE; CRIZOTINIB; EMD-1204831; EMIBETUZUMAB; FORETINIB; GLESATINIB; GOLVATINIB; JNJ-3887760,CABOZANTINIB; CABOZANTINIB S-MALATE; CAPMATINIB; CRIZOTINIB; EMIBETUZUMAB; FORETINIB; NINGETINIB; SAVOLITINIB; TIVANTINIB,NCT00557609;NCT00726323;NCT00827177;NCT01178411;NCT01324479
NCEH1,0,0,False,False,False,,,,
COL5A1,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
